year,month,hare,lynx,wolf,deer,vegetation,temperature,rainfall,hare_lag1,hare_lag2,hare_lag3,lynx_lag1,lynx_lag2,lynx_lag3,wolf_lag1,wolf_lag2,wolf_lag3,deer_lag1,deer_lag2,deer_lag3
100,1,41669,47018,22658,71829,102.70788773016768,10.043729638978682,42.58115525516355,41669.0,41669.0,41669.0,47018.0,47018.0,47018.0,22658.0,22658.0,22658.0,71829.0,71829.0,71829.0
100,2,55329,52193,24746,74075,120.87463703072177,18.553182941416956,79.60967253221179,41669.0,41669.0,41669.0,47018.0,47018.0,47018.0,22658.0,22658.0,22658.0,71829.0,71829.0,71829.0
100,3,50580,53260,23645,77679,133.51192899812216,23.279265339281498,79.25332044976481,55329.0,41669.0,41669.0,52193.0,47018.0,47018.0,24746.0,22658.0,22658.0,74075.0,71829.0,71829.0
100,4,58097,53518,22739,72792,141.01669262875754,22.79641080454866,64.18240865135267,50580.0,55329.0,41669.0,53260.0,52193.0,47018.0,23645.0,24746.0,22658.0,77679.0,74075.0,71829.0
100,5,57158,47174,24835,75625,138.6342444346331,23.47549698933715,34.48359930557055,58097.0,50580.0,55329.0,53518.0,53260.0,52193.0,22739.0,23645.0,24746.0,72792.0,77679.0,74075.0
100,6,62839,47894,18958,74199,123.82267341100555,16.71918464471887,31.43845054338876,57158.0,58097.0,50580.0,47174.0,53518.0,53260.0,24835.0,22739.0,23645.0,75625.0,72792.0,77679.0
100,7,62983,52429,19982,80169,103.15625422937758,9.514569071443688,58.00929222808054,62839.0,57158.0,58097.0,47894.0,47174.0,53518.0,18958.0,24835.0,22739.0,74199.0,75625.0,72792.0
100,8,59340,46545,22122,78825,85.96571102564654,-0.539925148358785,86.51020937443968,62983.0,62839.0,57158.0,52429.0,47894.0,47174.0,19982.0,18958.0,24835.0,80169.0,74199.0,75625.0
100,9,62087,53168,18846,76452,69.98813683884329,-1.5818692103065248,81.21590610126388,59340.0,62983.0,62839.0,46545.0,52429.0,47894.0,22122.0,19982.0,18958.0,78825.0,80169.0,74199.0
100,10,68281,50055,15561,80408,65.91471565061292,-6.121792872080274,59.548572246748094,62087.0,59340.0,62983.0,53168.0,46545.0,52429.0,18846.0,22122.0,19982.0,76452.0,78825.0,80169.0
100,11,66486,48555,19459,79924,68.13795899133274,-2.337622687274118,22.818301473010102,68281.0,62087.0,59340.0,50055.0,53168.0,46545.0,15561.0,18846.0,22122.0,80408.0,76452.0,78825.0
100,12,67300,47067,17447,83751,86.49206157264305,2.0725791150725166,39.19859143417519,66486.0,68281.0,62087.0,48555.0,50055.0,53168.0,19459.0,15561.0,18846.0,79924.0,80408.0,76452.0
101,1,69188,51519,21053,79278,106.52691715021585,9.478580717517971,62.32819718230814,67300.0,66486.0,68281.0,47067.0,48555.0,50055.0,17447.0,19459.0,15561.0,83751.0,79924.0,80408.0
101,2,63345,51000,16066,87237,127.46781525631026,17.24342950890697,81.33092653870274,69188.0,67300.0,66486.0,51519.0,47067.0,48555.0,21053.0,17447.0,19459.0,79278.0,83751.0,79924.0
101,3,76969,48928,18797,94359,144.9539095755549,22.18459764077786,95.43343413014262,63345.0,69188.0,67300.0,51000.0,51519.0,47067.0,16066.0,21053.0,17447.0,87237.0,79278.0,83751.0
101,4,73312,53480,18299,79672,146.8929922577644,23.95723491128785,60.087255794677944,76969.0,63345.0,69188.0,48928.0,51000.0,51519.0,18797.0,16066.0,21053.0,94359.0,87237.0,79278.0
101,5,75683,45354,16166,85496,144.19592162619026,22.605739852270013,36.85265224199062,73312.0,76969.0,63345.0,53480.0,48928.0,51000.0,18299.0,18797.0,16066.0,79672.0,94359.0,87237.0
101,6,75218,41725,12828,87947,127.43417342728695,14.50877304272623,32.229244458567464,75683.0,73312.0,76969.0,45354.0,53480.0,48928.0,16166.0,18299.0,18797.0,85496.0,79672.0,94359.0
101,7,73257,52986,15565,92876,107.67600668776316,9.219029278655565,59.3940504964762,75218.0,75683.0,73312.0,41725.0,45354.0,53480.0,12828.0,16166.0,18299.0,87947.0,85496.0,79672.0
101,8,70155,49257,16332,86892,95.01184215088341,1.3068022331315663,89.341622512871,73257.0,75218.0,75683.0,52986.0,41725.0,45354.0,15565.0,12828.0,16166.0,92876.0,87947.0,85496.0
101,9,77204,47122,18603,82334,77.75537683574082,-1.6740564664459503,83.14978953046794,70155.0,73257.0,75218.0,49257.0,52986.0,41725.0,16332.0,15565.0,12828.0,86892.0,92876.0,87947.0
101,10,80894,44849,12237,98690,67.96997188692791,-4.627203577334091,63.03224324829664,77204.0,70155.0,73257.0,47122.0,49257.0,52986.0,18603.0,16332.0,15565.0,82334.0,86892.0,92876.0
101,11,76484,48157,12591,91470,77.65029466621624,-2.9110084978029844,40.10170969624349,80894.0,77204.0,70155.0,44849.0,47122.0,49257.0,12237.0,18603.0,16332.0,98690.0,82334.0,86892.0
101,12,76002,48781,12618,95265,92.03313067205302,2.486590205300112,25.144737962131547,76484.0,80894.0,77204.0,48157.0,44849.0,47122.0,12591.0,12237.0,18603.0,91470.0,98690.0,82334.0
102,1,83500,47780,11311,89855,112.74387804566304,10.577407587679803,49.10866876499681,76002.0,76484.0,80894.0,48781.0,48157.0,44849.0,12618.0,12591.0,12237.0,95265.0,91470.0,98690.0
102,2,81768,43107,7497,102174,126.49502733596216,18.556892421479507,82.48307726770535,83500.0,76002.0,76484.0,47780.0,48781.0,48157.0,11311.0,12618.0,12591.0,89855.0,95265.0,91470.0
102,3,80642,50334,13129,86551,150.79868635309103,23.910812123969436,94.81572770748514,81768.0,83500.0,76002.0,43107.0,47780.0,48781.0,7497.0,11311.0,12618.0,102174.0,89855.0,95265.0
